_id,ltable_reviewid,rtable_id,title_title_jac_qgm_3_qgm_3,title_title_cos_dlm_dc0_dlm_dc0,title_title_jac_dlm_dc0_dlm_dc0,title_title_mel,title_title_lev_dist,title_title_lev_sim,title_title_nmw,title_title_sw,artist_artist_jac_qgm_3_qgm_3,artist_artist_cos_dlm_dc0_dlm_dc0,artist_artist_jac_dlm_dc0_dlm_dc0,artist_artist_mel,artist_artist_lev_dist,artist_artist_lev_sim,artist_artist_nmw,artist_artist_sw,label
78481,15808,369085,1.0,1.0,1.0,1.0,0.0,1.0,23.0,23.0,0.8333333333333334,0.8164965809277259,0.6666666666666666,0.8962962962962963,14.0,0.4814814814814815,-1.0,13.0,1
240217,13560,191133,1.0,1.0,1.0,1.0,0.0,1.0,40.0,40.0,0.631578947368421,0.4472135954999579,0.2857142857142857,0.8421930841302038,25.0,0.5098039215686274,4.0,20.0,1
477789,4014,1084418,1.0,1.0,1.0,1.0,0.0,1.0,23.0,23.0,0.0,0.0,0.0,0.39648033126293997,19.0,0.17391304347826086,-5.0,2.0,0
428987,16,315309,1.0,1.0,1.0,1.0,0.0,1.0,32.0,32.0,0.7857142857142857,0.0,0.0,0.8947368421052632,10.0,0.4736842105263158,-1.0,9.0,1
110151,11187,85048,1.0,1.0,1.0,1.0,0.0,1.0,28.0,28.0,0.85,0.8944271909999159,0.8,0.896969696969697,17.0,0.48484848484848486,-1.0,16.0,1
97607,22508,1075675,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.7857142857142857,0.8164965809277259,0.6666666666666666,0.8947368421052632,10.0,0.4736842105263158,-1.0,9.0,1
416007,22135,1061549,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.7272727272727273,0.0,0.0,0.8923076923076924,7.0,0.46153846153846156,-1.0,6.0,1
419608,3397,132289,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.75,0.0,0.0,0.8933333333333334,8.0,0.4666666666666667,-1.0,7.0,1
110327,14858,336624,1.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,0.8125,0.8164965809277259,0.6666666666666666,0.8956521739130435,12.0,0.4782608695652174,-1.0,11.0,1
473893,13022,317184,1.0,1.0,1.0,1.0,0.0,1.0,36.0,36.0,0.8695652173913043,0.8944271909999159,0.8,0.8972972972972972,19.0,0.4864864864864865,-1.0,18.0,1
375300,22470,1062593,1.0,1.0,1.0,1.0,0.0,1.0,29.0,29.0,0.8333333333333334,0.8164965809277259,0.6666666666666666,0.8962962962962963,14.0,0.4814814814814815,-1.0,13.0,1
646862,19501,749668,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,0.8,0.8164965809277259,0.6666666666666666,0.8952380952380953,11.0,0.47619047619047616,-1.0,10.0,1
433680,4014,1141672,1.0,1.0,1.0,1.0,0.0,1.0,23.0,23.0,0.0,0.0,0.0,0.5062111801242236,19.0,0.17391304347826086,-5.0,2.0,0
617830,20297,827866,1.0,1.0,1.0,1.0,0.0,1.0,24.0,24.0,0.5294117647058824,0.8164965809277259,0.6666666666666666,0.9384615384615385,4.0,0.6923076923076923,5.0,9.0,1
279069,7464,44573,1.0,1.0,1.0,1.0,0.0,1.0,31.0,31.0,0.8235294117647058,0.8164965809277259,0.6666666666666666,0.896,13.0,0.48,-1.0,12.0,1
31926,14833,1069161,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.37565308254963425,24.0,0.1724137931034483,-13.0,2.0,0
635336,16229,414198,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,0.8235294117647058,0.8164965809277259,0.6666666666666666,0.896,13.0,0.48,-1.0,12.0,1
525038,17936,539077,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,0.85,0.8164965809277259,0.6666666666666666,0.8967741935483872,16.0,0.4838709677419355,-1.0,15.0,1
139536,17149,481586,1.0,1.0,1.0,1.0,0.0,1.0,23.0,23.0,0.8333333333333334,0.0,0.0,0.8962962962962963,14.0,0.4814814814814815,-1.0,13.0,1
609817,1512,46341,1.0,1.0,1.0,1.0,0.0,1.0,17.0,17.0,0.7272727272727273,0.0,0.0,0.8923076923076924,7.0,0.46153846153846156,-1.0,6.0,1
443794,11155,6410,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1
506651,9509,220187,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,1
479717,15254,164969,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.0,0.0,0.0,0.5370370370370371,24.0,0.11111111111111116,-18.0,2.0,0
242365,11433,152737,1.0,1.0,1.0,1.0,0.0,1.0,29.0,29.0,0.8928571428571429,0.8944271909999159,0.8,0.897872340425532,24.0,0.4893617021276596,-1.0,23.0,1
236739,5668,516407,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.0,0.0,0.0,0.4951515151515151,20.0,0.19999999999999996,0.0,4.0,0
178674,4350,507388,1.0,1.0,1.0,1.0,0.0,1.0,23.0,23.0,0.023809523809523808,0.0,0.0,0.46296296296296297,37.0,0.1777777777777778,-22.0,4.0,0
533442,15333,329431,1.0,1.0,1.0,1.0,0.0,1.0,26.0,26.0,0.8571428571428571,0.8660254037844387,0.75,0.896969696969697,17.0,0.48484848484848486,-1.0,16.0,1
543677,21544,123788,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.33660130718954245,17.0,0.05555555555555558,0.0,1.0,0
390150,16733,907643,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,0.0,0.0,0.0,0.4577777777777778,24.0,0.040000000000000036,-21.0,1.0,0
349699,11283,188148,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.7857142857142857,0.8164965809277259,0.6666666666666666,0.8947368421052632,10.0,0.4736842105263158,-1.0,9.0,1
360597,13201,206387,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,0.42857142857142855,0.7071067811865475,0.5,0.92,4.0,0.6,2.0,6.0,1
346428,4324,298902,1.0,1.0,1.0,1.0,0.0,1.0,24.0,24.0,0.8333333333333334,0.8164965809277259,0.6666666666666666,0.8962962962962963,14.0,0.4814814814814815,-1.0,13.0,1
537300,10311,61532,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.8235294117647058,0.8164965809277259,0.6666666666666666,0.896,13.0,0.48,-1.0,12.0,1
422499,7766,48440,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,0.918918918918919,0.9258200997725514,0.8571428571428571,0.8985074626865671,34.0,0.4925373134328358,-1.0,33.0,1
590773,9526,81316,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.85,0.8660254037844387,0.75,0.8967741935483872,16.0,0.4838709677419355,-1.0,15.0,1
129262,11737,8681,1.0,1.0,1.0,1.0,0.0,1.0,42.0,42.0,0.3125,0.5773502691896258,0.3333333333333333,0.8526315789473684,14.0,0.26315789473684215,-9.0,5.0,1
613074,15793,948615,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.023809523809523808,0.0,0.0,0.5992063492063492,60.0,0.04761904761904767,-56.0,3.0,0
603786,13906,203099,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.8421052631578947,0.8660254037844387,0.75,0.896551724137931,15.0,0.48275862068965514,-1.0,14.0,1
556317,5626,250785,1.0,1.0,1.0,1.0,0.0,1.0,39.0,39.0,0.90625,0.8944271909999159,0.8,0.8981818181818183,28.0,0.49090909090909096,-1.0,27.0,1
600151,7726,547928,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,0.0,0.0,0.0,0.3995621237000548,27.0,0.06896551724137934,-20.0,1.0,0
190849,16236,146197,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.42848484848484847,22.0,0.12,-11.0,3.0,0
72669,3230,251141,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.8,0.8164965809277259,0.6666666666666666,0.8952380952380953,11.0,0.47619047619047616,-1.0,10.0,1
424458,9177,43204,1.0,1.0,1.0,1.0,0.0,1.0,25.0,25.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,1
22720,87,63075,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.8235294117647058,0.8660254037844387,0.75,0.896,13.0,0.48,-1.0,12.0,1
144948,4986,171317,1.0,1.0,1.0,1.0,0.0,1.0,20.0,20.0,0.8333333333333334,0.8164965809277259,0.6666666666666666,0.8962962962962963,14.0,0.4814814814814815,-1.0,13.0,1
248186,15737,383521,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,0.0,0.0,0.0,0.4130952380952381,31.0,0.11428571428571432,-23.0,1.0,0
554888,8983,242310,1.0,1.0,1.0,1.0,0.0,1.0,20.0,20.0,0.0,0.0,0.0,0.4586894586894587,11.0,0.15384615384615385,-2.0,2.0,0
624693,7551,522031,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.7,0.0,0.0,0.890909090909091,6.0,0.4545454545454546,-1.0,5.0,1
392720,7752,818940,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,0.0,0.0,0.0,0.4561191626409018,20.0,0.13043478260869568,-11.0,2.0,0
137937,22092,1057701,1.0,1.0,1.0,1.0,0.0,1.0,25.0,25.0,0.0,0.0,0.0,0.5028508771929824,17.0,0.15000000000000002,1.0,3.0,0
427965,15002,283117,1.0,1.0,1.0,1.0,0.0,1.0,26.0,26.0,0.9032258064516129,0.8944271909999159,0.8,0.8981132075471697,27.0,0.49056603773584906,-1.0,26.0,1
43152,3750,1118702,1.0,1.0,1.0,1.0,0.0,1.0,22.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,1
362068,13227,177363,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,1
571664,4461,116638,1.0,1.0,1.0,1.0,0.0,1.0,30.0,30.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,1
196170,410,994104,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.8846153846153846,0.8660254037844387,0.75,0.8976744186046511,22.0,0.4883720930232558,-1.0,21.0,1
34069,7857,69215,1.0,1.0,1.0,1.0,0.0,1.0,20.0,20.0,0.38095238095238093,0.0,0.0,0.8933333333333334,5.0,0.6666666666666667,9.0,9.0,1
66849,302,20782,1.0,1.0,1.0,1.0,0.0,1.0,22.0,22.0,0.8333333333333334,0.8164965809277259,0.6666666666666666,0.8962962962962963,14.0,0.4814814814814815,-1.0,13.0,1
451637,20353,819138,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,0.7692307692307693,0.0,0.0,0.8941176470588236,9.0,0.47058823529411764,-1.0,8.0,1
33017,16634,505238,1.0,1.0,1.0,1.0,0.0,1.0,20.0,20.0,0.8421052631578947,0.8164965809277259,0.6666666666666666,0.896551724137931,15.0,0.48275862068965514,-1.0,14.0,1
590053,15720,340635,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,0.75,0.0,0.0,0.8933333333333334,8.0,0.4666666666666667,-1.0,7.0,1
341002,5122,326138,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,1
355370,6304,780050,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,0.0,0.0,0.0,0.5056980056980057,22.0,0.18518518518518523,-9.0,2.0,0
592179,11886,290139,1.0,1.0,1.0,1.0,0.0,1.0,39.0,39.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1
70116,11337,167463,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,0.5555555555555556,0.40824829046386296,0.25,0.8869565217391304,13.0,0.4347826086956522,-3.0,9.0,1
534235,19116,987255,1.0,1.0,1.0,1.0,0.0,1.0,20.0,20.0,0.038461538461538464,0.0,0.0,0.583281099324976,50.0,0.180327868852459,-33.0,4.0,0
